File name,Topic,Question,Answer
Birth_of_Attention_mechanism.docx,Birth of Attention mechanism.docx,"How is the attention weight ?i,j\alpha_{i,j}?i,j? calculated from the alignment score?","The attention weight ?i,j\alpha_{i,j}?i,j? is calculated by applying a SoftMax function to the alignment score, ensuring that the weights sum to one, similar to a probability distribution."
Birth_of_Attention_mechanism.docx,Birth of Attention mechanism.docx,What is the final purpose of the attention weights in the attention mechanism?,The attention weights determine how much focus the decoder should place on each input word when generating each output word in the sequence.
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What is an API?,"An API (Application Programming Interface) is a set of functions and procedures that allows the creation of applications that access the features or data of an operating system, application, or other service."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What distinguishes Cognitive APIs from regular APIs?,"Cognitive APIs are specialized APIs that provide cognitive (data science) services, such as machine learning, natural language processing, and computer vision, often offered by cloud providers like Microsoft, Amazon, Google, IBM, and Twitter."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What are some key features of APIs?,"Key features of APIs include input/output mechanisms, rate limits, and authentication methods such as HTTP auth, API keys, and OAuth."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What is the role of an API key in API usage?,"An API key is a unique generated value assigned to each first-time user, signifying that the user is known and allowing them to access the API's services."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What are Vision APIs and give an example of one?,"Vision APIs are a type of Cognitive API focused on processing and analyzing visual data. An example is the Azure Computer Vision API, which can perform tasks like face detection and image recognition."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,How does Azure's Face API handle face detection?,"Azure's Face API detects faces in images and returns data such as face attributes (age, gender, emotion), face landmarks (pupil positions, nose tip), and other characteristics like occlusion, exposure, and noise levels."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What is the purpose of the Immersive Reader API?,"The Immersive Reader API is designed to improve reading comprehension by providing features such as text decoding, highlighting, and voice narration, helping users with reading difficulties or those learning a new language."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,How can Google Vision API be set up for use?,"To set up Google Vision API, you need to create a GCP project, enable billing, enable the API, create a service account key, set the environment variable for the application credentials, install the client library, and run the appropriate code."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What is a use case for the Text Analytics API on Azure?,"A use case for the Text Analytics API on Azure includes extracting key phrases, sentiment analysis, language detection, and named entity recognition from a block of text, useful in applications like customer feedback analysis."
Cognitive_APIs_Cloud_API.pptx,Cognitive APIs & Cloud API,What type of data can the Google Translate API handle?,"The Google Translate API can translate text data between different languages, allowing developers to incorporate language translation capabilities into their applications."
